text	language	label	source	annotator	label_id
Immigration can have a positive impact on the economy by creating jobs and boosting growth.	eng	Economic	The Washington Post	G01352322	1.0
Immigration is a complex issue that requires a comprehensive solution.	eng	Policy Prescription and Evaluation	The Hill	G01352322	6.0
The U.S. government should be doing more to provide resources for immigrant-owned businesses.	eng	Capacity and Resources	NPR	G01352322	2.0
Same-sex marriage has been a controversial topic for many years.	eng	Public Sentiment	ABC News	G01352322	12.0
Immigration has been a defining feature of the United States throughout its history, and it continues to shape our national identity.	eng	Cultural Identity	National Geographic	G01352322	11.0
Proponents of same-sex marriage have argued that it is a matter of civil rights and equal protection under the law.	eng	Fairness and Equality	https://www.britannica.com/topic/same-sex-marriage	G01352322	4.0
For some same-sex couples, the law is a bright spot at a time of rising anti-LGBTQ rhetoric and legislation.	eng	Legality, Constitutionality, Jurisdiction	https://www.usatoday.com/story/news/nation/2022/12/08/respect-marriage-act-same-sex-couples-relieved/10795048002/	G01352322	5.0
Same-sex marriage has been recognized as a human right by the United Nations.	eng	Political	Human Rights Campaign	G01352322	13.0
"""APA supports the legal recognition of same-sex marriage with all rights, benefits, and responsibilities conferred by civil marriage, and opposes restrictions to those same rights, benefits, and responsibilities."""	eng	Fairness and Equality	https://www.apa.org/about/policy/same-sex	G01352322	4.0
Same -sex marriage is a matter of human rights and personal freedom.	eng	Fairness and Equality	BBC Swahili	G01352322	4.0
Immigration policy should be based on the needs of the economy and the labor market.	eng	Economic	Pew Research Center	G01352322	1.0
Same-sex marriage is a legal right that should be recognized by all countries.	eng	Political	The Guardian	G01352322	13.0
Immigration is a topic of great cultural importance.	eng	Cultural Identity	Die Zeit	G01352322	11.0
The debate over same-sex marriage continues to be a key issue in many political and social contexts.	eng	Political	https://www.britannica.com/topic/same-sex-marriage	G01352322	13.0
Same-sex marriage is a human right that should be recognized worldwide.	eng	Political	The Guardian	G01352322	13.0
Same-sex marriage is a deeply personal issue that affects individuals and families in profound ways.	eng	Morality	TIME	G01352322	3.0
Same-sex marriage was first legalized in the Netherlands in 2001.	eng	Legality, Constitutionality, Jurisdiction	https://www.britannica.com/topic/same-sex-marriage	G01352322	5.0
